"id","Drena_a","cod_pfs","nombre","Area_km2","LongCauce_km","tuhp","RioPpal","TipoCuenca"
1,7,4996814,"Afluente al Rio Chambo",7.96,4.72,"Cuenca","Rio Chambo","Cuenca baja"
2,7,4996815,"Rio Chambo",25.29,5.10,"Intercuenca","Rio Chambo","Cuenca baja"
3,4,4996822,"Quebrada Los Tiacos",8.91,5.20,"Cuenca","Rio Puela","Cuenca baja"
4,14,4996823,"Rio Puela",0.32,0.63,"Intercuenca","Rio Puela","Cuenca baja"
5,16,4996827,"Rio Naranjal",0.88,1.27,"Intercuenca","Rio Puela","Cuenca baja"
6,19,4996835,"Rio Blanco",12.76,5.33,"Intercuenca","Rio Blanco","Cuenca baja"
7,73,4996813,"Rio Chambo",23.49,4.96,"Intercuenca","Rio Chambo","Cuenca baja"
8,2,4996817,"Rio Chambo",2.55,1.40,"Intercuenca","Rio Chambo","Cuenca baja"
9,8,4996818,"Quebrada San Martin",8.10,3.72,"Cuenca","Rio Chambo","Cuenca baja"
10,8,4996819,"Rio Chambo",13.68,1.76,"Intercuenca","Rio Chambo","Cuenca baja"
11,2,4996816,"Quebrada Guilles",42.73,15.94,"Cuenca","Rio Chambo","Cuenca baja"
12,73,4996812,"Quebrada Peraspamba",10.59,4.53,"Cuenca","Rio Chambo","Cuenca baja"
13,15,4996829,"Rio Chorreras",43.74,10.24,"Intercuenca","Rio Puela","Cuenca baja"
14,10,4996821,"Rio Puela",72.91,14.38,"Intercuenca","Rio Puela","Cuenca baja"
15,5,4996828,"Rio Ventanas",37.73,9.42,"Cuenca","Rio Puela","Cuenca baja"
16,4,4996825,"Rio Naranjal",16.52,4.46,"Intercuenca","Rio Puela","Cuenca baja"
17,4,4996824,"Rio Sigsal",32.00,5.66,"Cuenca","Rio Puela","Cuenca baja"
18,16,4996826,"Rio Cubillin",20.77,8.94,"Cuenca","Rio Puela","Cuenca baja"
19,26,4996834,"Rio Chambo",43.80,8.53,"Cuenca","Rio Chambo","Cuenca baja"
20,6,4996837,"Rio Blanco",28.98,6.44,"Intercuenca","Rio Blanco","Cuenca baja"
21,10,4996831,"Rio Chambo",0.38,0.38,"Intercuenca","Rio Chambo","Cuenca baja"
22,21,4996832,"Rio Matus",29.75,8.54,"Cuenca","Rio Chambo","Cuenca baja"
23,20,4996838,"Rio Collanes",27.88,8.80,"Cuenca","Rio Blanco","Cuenca baja"
24,20,4996839,"Rio Blanco",60.64,10.84,"Intercuenca","Rio Blanco","Cuenca baja"
25,67,4996846,"Quebrada Basacón",39.64,20.78,"Cuenca","Rio Guano","Cuenca baja"
26,21,4996833,"Rio Chambo",54.35,11.15,"Intercuenca","Rio Chambo","Cuenca baja"
27,6,4996836,"Rio Candelaria",16.01,6.02,"Cuenca","Rio Blanco","Cuenca baja"
28,25,4996848,"Quebrada Chilcachaca",52.25,11.95,"Cuenca","Rio Guano","Cuenca baja"
29,30,4996849,"Quebrada del Rayo",52.89,11.44,"Intercuenca","Rio Guano","Cuenca baja"
30,67,4996847,"Rio Guano",64.27,11.07,"Intercuenca","Rio Guano","Cuenca baja"
31,19,4996841,"Rio Guano",17.51,3.95,"Intercuenca","Rio Guano","Cuenca baja"
32,72,4996844,"Quebrada Las Abras",65.03,21.60,"Cuenca","Rio Guano","Cuenca baja"
33,31,4996842,"Quebrada de Chacón",40.15,15.49,"Cuenca","Rio Guano","Cuenca baja"
34,19,4996851,"Rio Chambo",84.07,10.75,"Intercuenca","Rio Chambo","Cuenca media"
35,71,4996864,"Quebrada Guaslín",33.58,11.83,"Cuenca","Rio Chibunga","Cuenca media"
36,38,4996868,"Rio Cajabamba",133.84,14.06,"Cuenca","Rio Chibunga","Cuenca media"
37,38,4996869,"Rio Chimborazo",174.94,29.57,"Intercuenca","Rio Chibunga","Cuenca media"
38,39,4996867,"Rio Chibunga",71.91,14.18,"Intercuenca","Rio Chibunga","Cuenca media"
39,71,4996865,"Rio Chibunga",37.54,6.83,"Intercuenca","Rio Chibunga","Cuenca media"
40,34,4996861,"Rio Chibunga",3.81,1.85,"Intercuenca","Rio Chibunga","Cuenca media"
41,71,4996862,"Quebrada Gualgalomon",44.53,11.11,"Cuenca","Rio Chibunga","Cuenca media"
42,39,4996866,"Quebrada Cacha",28.44,11.70,"Cuenca","Rio Chibunga","Cuenca media"
43,50,4996876,"Rio Alao",89.44,16.55,"Cuenca","Rio Chambo","Cuenca media"
44,49,4996878,"Rio Chambo",51.52,3.81,"Cuenca","Rio Chambo","Cuenca media"
45,34,4996871,"Rio Chambo",34.07,8.74,"Intercuenca","Rio Chambo","Cuenca media"
46,45,4996872,"Rio Ulpín",63.08,13.86,"Cuenca","Rio Chambo","Cuenca media"
47,45,4996873,"Rio Chambo",2.06,2.22,"Intercuenca","Rio Chambo","Cuenca media"
48,47,4996874,"Rio Daldal",30.49,9.35,"Cuenca","Rio Chambo","Cuenca media"
49,50,4996877,"Rio Chambo",13.51,5.55,"Intercuenca","Rio Chambo","Cuenca media"
50,47,4996875,"Rio Chambo",43.49,5.87,"Intercuenca","Rio Chambo","Cuenca media"
51,49,4996879,"Rio Huargalla",87.38,12.84,"Intercuenca","Rio Chambo","Cuenca media"
52,74,4996882,"Rio Chidu",95.09,14.43,"Cuenca","Rio Guamote","Cuenca media"
53,58,4996886,"Rio Llinllin",80.18,16.26,"Cuenca","Rio Guamote","Cuenca media"
54,55,4996888,"Rio Gahulj│n",31.83,13.07,"Cuenca","Rio Guamote","Cuenca media"
55,58,4996887,"Rio Sasapud",0.32,0.47,"Intercuenca","Rio Guamote","Cuenca media"
56,62,4996898,"Quebrada Tasayo",43.21,9.84,"Cuenca","Rio Cebadas","Cuenca alta"
57,55,4996889,"Rio Sasapud",68.34,16.72,"Intercuenca","Rio Guamote","Cuenca media"
58,60,4996885,"Rio Columbe",14.59,5.51,"Intercuenca","Rio Guamote","Cuenca media"
59,44,4996881,"Rio Guamote",55.18,11.91,"Intercuenca","Rio Guamote","Cuenca media"
60,59,4996883,"Rio Columbe",31.56,6.36,"Intercuenca","Rio Guamote","Cuenca media"
61,60,4996884,"Rio Guashi",108.26,19.81,"Cuenca","Rio Guamote","Cuenca media"
62,68,4996897,"Rio Osogoche",48.81,9.53,"Intercuenca","Rio Cebadas","Cuenca alta"
63,65,4996892,"Quebrada Yanarumi",37.13,10.50,"Cuenca","Rio Cebadas","Cuenca alta"
64,65,4996893,"Rio Cebadas",5.46,1.82,"Intercuenca","Rio Cebadas","Cuenca alta"
65,44,4996891,"Rio Cebadas",203.85,29.25,"Intercuenca","Rio Cebadas","Cuenca alta"
66,68,4996896,"Rio Atillo",93.02,12.31,"Cuenca","Rio Cebadas","Cuenca alta"
67,72,4996845,"Rio Guano",41.25,5.06,"Intercuenca","Rio Guano","Cuenca baja"
68,64,4996895,"Rio Atillo",21.59,3.37,"Intercuenca","Rio Cebadas","Cuenca alta"
69,62,4996899,"Rio Osogoche",107.19,11.06,"Intercuenca","Rio Cebadas","Cuenca alta"
70,64,4996894,"Rio Yasipán",150.60,30.02,"Cuenca","Rio Cebadas","Cuenca alta"
71,40,4996863,"Rio Chibunga",0.00,0.03,"Intercuenca","Rio Chibunga","Cuenca media"
72,31,4996843,"Rio Guano",0.79,1.21,"Intercuenca","Rio Guano","Cuenca baja"
73,0,4996811,"Rio Chambo",16.08,1.95,"Intercuenca","Rio Chambo","Cuenca baja"
74,59,4996882,"Rio Chidu+Laime",118.98,17.51,"Cuenca","Rio Guamote","Cuenca media"
75,43,4996876,"Rio Alao",96.13,16.37,"Cuenca","Rio Chambo","Cuenca media"
76,51,4996879,"Rio Huargalla",103.63,11.82,"Intercuenca","Rio Chambo","Cuenca media"
