ID,INIC,FIN,TIPO,QMAX,TRET
DAM1,34,19,ACU_1,0.06,0.5
DEP1,37,38,ENE_1,0.42,0.5
DEP2,24,20,ENE_1,0.46,0.5
DEP3,50,47,ENE_1,4.5,0.5
DEP4,37,38,ENE_1,0.43,0.5
DHM1,46,45,HUM_1,0.05,0.5
DHM10,60,59,HUM_1,0.01,0.5
DHM11,36,38,HUM_1,0.05,0.5
DHM12,39,71,HUM_1,0.04,0.5
DHM13,22,21,HUM_1,0.02,0.5
DHM14,14,10,HUM_1,0.01,0.5
DHM2,37,38,HUM_1,0.03,0.5
DHM3,38,39,HUM_1,0.03,0.5
DHM4,30,67,HUM_1,0.04,0.5
DHM5,25,67,HUM_1,0.03,0.5
DHM6,32,72,HUM_1,0.03,0.5
DHM7,11,2,HUM_1,0.02,0.5
DHM8,12,73,HUM_1,0.04,0.5
DHM9,74,59,HUM_1,0.02,0.5
DHP1,50,47,HUM_1,1.6,0.5
DHP2,30,30,HUM_1,0.35,0.5
DHP3,30,30,HUM_1,0.25,0.5
DIM1,37,38,IND_1,0.01,0.5
DIM2,39,39,IND_1,0.02,0.5
DRM1,69,62,RIE_1,0.08,0
DRM10,58,60,RIE_1,0.05,0
DRM11,57,55,RIE_1,0.09,0
DRM12,61,60,RIE_1,0.03,0
DRM13,59,44,RIE_1,0.06,0
DRM14,44,49,RIE_1,0.05,0
DRM15,51,49,RIE_1,0.41,0
DRM16,43,50,RIE_1,0.23,0
DRM17,50,47,RIE_1,0.13,0
DRM18,48,47,RIE_1,0.08,0
DRM19,47,45,RIE_1,0.02,0
DRM2,56,62,RIE_1,0.08,0
DRM20,46,45,RIE_1,0.43,0
DRM21,45,34,RIE_1,0.07,0
DRM22,36,38,RIE_1,0.32,0
DRM23,37,38,RIE_1,0.91,0
DRM24,38,39,RIE_1,0.25,0
DRM25,39,71,RIE_1,0.03,0
DRM26,34,31,RIE_1,0.44,0
DRM27,28,30,RIE_1,0.23,0
DRM28,29,30,RIE_1,0.07,0
DRM29,30,67,RIE_1,0.23,0
DRM3,62,68,RIE_1,0.08,0
DRM30,25,67,RIE_1,0.23,0
DRM31,67,72,RIE_1,0.13,0
DRM32,32,72,RIE_1,0.06,0
DRM33,31,19,RIE_1,0.03,0
DRM34,19,26,RIE_1,0.13,0
DRM35,24,20,RIE_1,0.09,0
DRM36,20,6,RIE_1,0.17,0
DRM37,27,6,RIE_1,0.09,0
DRM38,6,26,RIE_1,0.12,0
DRM39,26,10,RIE_1,0.03,0
DRM4,68,64,RIE_1,0.11,0
DRM40,22,21,RIE_1,0.26,0
DRM41,14,10,RIE_1,0.18,0
DRM42,11,2,RIE_1,0.04,0
DRM43,1,7,RIE_1,0.04,0
DRM44,7,73,RIE_1,0.06,0
DRM45,12,73,RIE_1,0.04,0
DRM5,63,65,RIE_1,0.04,0
DRM6,65,44,RIE_1,0.57,0
DRM7,74,59,RIE_1,0.45,0
DRM8,60,59,RIE_1,0.16,0
DRM9,53,58,RIE_1,0.28,0
DRP1,51,49,RIE_1,0.21,0
DRP10,24,20,RIE_1,0.11,0
DRP11,44,49,RIE_1,5.9,0
DRP12,27,6,RIE_1,0.12,0
DRP13,70,64,RIE_1,0.15,0
DRP14,37,38,RIE_1,0.12,0
DRP15,34,19,RIE_1,0.15,0
DRP16,51,49,RIE_1,1.3,0
DRP17,14,10,RIE_1,0.18,0
DRP18,65,44,RIE_1,0.11,0
DRP19,74,59,RIE_1,0.15,0
DRP2,6,26,RIE_1,0.2,0
DRP20,67,72,RIE_1,0.7,0
DRP21,37,38,RIE_1,0.11,0
DRP22,37,38,RIE_1,0.27,0
DRP23,60,59,RIE_1,0.18,0
DRP24,70,64,RIE_1,0.4,0
DRP25,70,64,RIE_1,0.29,0
DRP26,46,45,RIE_1,0.31,0
DRP27,34,19,RIE_1,0.11,0
DRP3,27,6,RIE_1,0.22,0
DRP4,63,65,RIE_1,0.12,0
DRP5,28,30,RIE_1,0.16,0
DRP6,33,31,RIE_1,0.17,0
DRP7,51,49,RIE_1,0.11,0
DRP8,46,45,RIE_1,0.12,0
DRP9,72,31,RIE_1,0.35,0
DRP28,63,65,RIE_1,0.17,0
DRP29,36,38,RIE_1,0.1,0
DRP30,36,38,RIE_1,0.12,0
